,시도명,시군구명,상호명,지점명,경도,위도,도로명주소,ID,커피빈 매장수,브랜드명
0,서울특별시,강남구,커피빈코리아선릉로93길점,코리아선릉로93길점,127.047883157395,37.505675040057994,서울특별시 강남구 선릉로93길 6,서울 강남,1,커피빈
1,서울특별시,서초구,커피빈,코리아교대점,127.014217033954,37.492387659064704,서울특별시 서초구 서초중앙로 118,서울 서초,1,커피빈
2,서울특별시,종로구,커피빈,코리아대학로대명거리점,127.000170846364,37.5831492497775,서울특별시 종로구 대명길 25,서울 종로,1,커피빈
3,서울특별시,강남구,커피빈,코리아선릉역점,127.04822290823499,37.5047496908904,서울특별시 강남구 테헤란로 335,서울 강남,1,커피빈
4,서울특별시,영등포구,커피빈,코리아현대자동차여의도점,126.92727701435699,37.524878809187605,서울특별시 영등포구 국제금융로 20,서울 영등포,1,커피빈
5,서울특별시,강남구,커피빈코리아강남역먹자골목점,코리아강남역먹자골목점,127.027279995112,37.500100847200606,서울특별시 강남구 테헤란로1길 29,서울 강남,1,커피빈
6,서울특별시,서대문구,커피빈,코리아신촌현대백화점점,126.93582782049101,37.556069154454,서울특별시 서대문구 신촌로 83,서울 서대문,1,커피빈
7,서울특별시,강남구,커피빈,코리아강남역랭기지타워점,127.030074547889,37.4965196043765,서울특별시 강남구 테헤란로4길 28,서울 강남,1,커피빈
8,서울특별시,강남구,커피빈,코리아청담성당점,127.05002149174601,37.5199018862561,서울특별시 강남구 삼성로 716,서울 강남,1,커피빈
9,서울특별시,강남구,커피빈,코리아청담에스점,127.04721583976101,37.5252495612624,서울특별시 강남구 압구정로 461,서울 강남,1,커피빈
10,서울특별시,강남구,커피빈,코리아역삼역4번출구점,127.034884401544,37.50064077948029,서울특별시 강남구 테헤란로 143,서울 강남,1,커피빈
11,서울특별시,광진구,커피빈,광장동대한제지점,127.102911969818,37.544130344049,서울특별시 광진구 아차산로 563,서울 광진,1,커피빈
12,서울특별시,중구,커피빈,코리아명동증권빌딩점,126.983952741813,37.564341196302706,서울특별시 중구 명동7길 13,서울 중구,1,커피빈
13,서울특별시,강남구,커피빈,코리아대치은마점,127.068806483655,37.497561118625995,서울특별시 강남구 영동대로 211,서울 강남,1,커피빈
