,시도명,시군구명,상호명,지점명,경도,위도,도로명주소,ID,스타벅스 매장수,브랜드명
37,서울특별시,중구,스타벅스,문화일보점,126.968622139719,37.56711862235971,서울특별시 중구 새문안로 22,서울 중구,1,스타벅스
38,서울특별시,서초구,스타벅스강남삼성타운점,강남삼성타운점,127.027735014225,37.4955362431632,서울특별시 서초구 서초대로78길 24,서울 서초,1,스타벅스
39,서울특별시,관악구,스타벅스사당점,사당점,126.98100003205201,37.476049031304896,서울특별시 관악구 남부순환로 2082-25,서울 관악,1,스타벅스
40,서울특별시,용산구,스타벅스,순천향입구점,127.00563260758001,37.533412670302795,서울특별시 용산구 대사관로 67,서울 용산,1,스타벅스
41,서울특별시,관악구,스타벅스신림점,신림점,126.929154905595,37.4860877636316,서울특별시 관악구 신림로 355-1,서울 관악,1,스타벅스
42,서울특별시,강남구,스타벅스,강남구청역점,127.041239849867,37.51660515603879,서울특별시 강남구 선릉로 669,서울 강남,1,스타벅스
43,서울특별시,관악구,스타벅스서울대입구역점,서울대입구역점,126.95131919862499,37.4811055353469,서울특별시 관악구 남부순환로 1812,서울 관악,1,스타벅스
44,서울특별시,강서구,스타벅스,등촌점,126.844334259983,37.5582364999702,서울특별시 강서구 공항대로 329,서울 강서,1,스타벅스
45,서울특별시,광진구,스타벅스광장점,광장점,127.099644411941,37.542952126691105,서울특별시 광진구 아차산로 537-17,서울 광진,1,스타벅스
46,서울특별시,강서구,스타벅스,가양이마트점,126.861799100259,37.5581809080942,서울특별시 강서구 양천로 559,서울 강서,1,스타벅스
47,서울특별시,강남구,스타벅스,역삼초교사거리점,127.03300049334801,37.494128761553,서울특별시 강남구 역삼로 123,서울 강남,1,스타벅스
48,서울특별시,성북구,스타벅스,안암역점,127.030747660126,37.586098403696106,서울특별시 성북구 인촌로 102-2,서울 성북,1,스타벅스
49,서울특별시,광진구,스타벅스,구의디티점,127.087179393284,37.545298278221104,서울특별시 광진구 광나루로 519,서울 광진,1,스타벅스
50,서울특별시,영등포구,스타벅스,문래동점,126.889681386224,37.51965670105221,서울특별시 영등포구 선유로 64,서울 영등포,1,스타벅스
51,서울특별시,송파구,스타벅스,아시아선수촌점,127.07902912050501,37.510526383519,서울특별시 송파구 백제고분로 69,서울 송파,1,스타벅스
52,서울특별시,서대문구,스타벅스신촌명물거리점,신촌명물거리점,126.938123543095,37.557792789787705,서울특별시 서대문구 명물길 24,서울 서대문,1,스타벅스
53,서울특별시,중구,스타벅스명동미래,명동미래점,126.984532402493,37.5641659751905,서울특별시 중구 명동7길 8,서울 중구,1,스타벅스
54,서울특별시,중구,스타벅스,신당역점,127.01433114617399,37.56539165332121,서울특별시 중구 퇴계로 385,서울 중구,1,스타벅스
55,서울특별시,강남구,스타벅스,대치역점,127.06190405786,37.4933436201599,서울특별시 강남구 남부순환로 2936,서울 강남,1,스타벅스
56,서울특별시,광진구,스타벅스건국클래식점,건국클래식점,127.070902015585,37.538350363970004,서울특별시 광진구 능동로 90,서울 광진,1,스타벅스
57,서울특별시,중랑구,스타벅스,묵동이마트점,127.077541387095,37.61382904924471,서울특별시 중랑구 동일로 932,서울 중랑,1,스타벅스
58,서울특별시,서대문구,스타벅스연희DT점,연희DT점,126.933883655016,37.570188911496395,서울특별시 서대문구 연희로 144,서울 서대문,1,스타벅스
59,서울특별시,성북구,스타벅스삼선교점,삼선교점,127.007320332261,37.5887239609069,서울특별시 성북구 동소문로 10,서울 성북,1,스타벅스
60,서울특별시,종로구,스타벅스종각점,종각점,126.984521790682,37.5699505724323,서울특별시 종로구 종로 64,서울 종로,1,스타벅스
