,시도명,시군구명,상호명,지점명,경도,위도,도로명주소,ID,이디야 매장수,브랜드명
1079,경기도,고양시 덕양구,이디야커피,행신중앙점,126.83052843208598,37.620316437164,경기도 고양시 덕양구 행신로 131-11,고양 덕양,1,이디야
1080,경기도,의왕시,이디야커피,의왕오전점,126.967848153139,37.3585624208923,경기도 의왕시 원골로 14,의왕,1,이디야
1081,경기도,용인시 기흥구,이디야커피,용인구성점,127.119594776658,37.2939648217139,경기도 용인시 기흥구 구성로 94,용인 기흥,1,이디야
1082,경기도,수원시 장안구,이디야커피,-,127.008697985137,37.301206733817395,경기도 수원시 장안구 송원로 69,수원 장안,1,이디야
1083,경기도,성남시 분당구,이디야커피,야탑2호점,127.12681766023898,37.410519429774,경기도 성남시 분당구 야탑로69번길 8,성남 분당,1,이디야
1084,경기도,남양주시,이디야커피점,-,127.27429026005801,37.65689455633101,경기도 남양주시 화도읍 먹갓로 31,남양주,1,이디야
1085,경기도,고양시 덕양구,이디야커피,일산고양동점,126.90227807178002,37.704179044802,경기도 고양시 덕양구 혜음로 42,고양 덕양,1,이디야
1086,경기도,남양주시,이디야커피,-,127.182009629774,37.7088212300091,경기도 남양주시 진접읍 금강로유연들1길 154,남양주,1,이디야
1087,경기도,오산시,이디야커피,오산시청점,127.07579451294399,37.1484637224589,경기도 오산시 성호대로 130,오산,1,이디야
1088,경기도,용인시 기흥구,이디야커피,용인흥덕점,127.07148751108801,37.2749806807776,경기도 용인시 기흥구 흥덕1로79번길 2,용인 기흥,1,이디야
1089,경기도,수원시 영통구,이디야커피,광교경기도청점,127.051127274282,37.2917326723738,경기도 수원시 영통구 센트럴타운로 92,수원 영통,1,이디야
1090,경기도,파주시,이디야커피,교하점,126.71771671564899,37.7250935235583,경기도 파주시 청석로 260,파주,1,이디야
1091,경기도,안양시 동안구,이디야커피,평촌점,126.963253581826,37.393853140653206,경기도 안양시 동안구 관평로182번길 54,안양 동안,1,이디야
1092,경기도,남양주시,이디야커피,남양주사능점,127.178332190798,37.6587160290667,경기도 남양주시 진건읍 진건오남로 90,남양주,1,이디야
1093,강원도,원주시,이디야커피,-,127.923009662326,37.3014133243803,강원도 원주시 흥업면 울업1길 29,원주,1,이디야
1094,경기도,수원시 팔달구,이디야커피성빈센트병원,-,127.027440166173,37.2779159718294,경기도 수원시 팔달구 중부대로 93,수원 팔달,1,이디야
1095,충청북도,청주시 청원구,이디야커피오창과학단지점,오창과학단지점,127.427761029319,36.7114855812803,충청북도 청주시 청원구 오창읍 오창대로 315,청주 청원,1,이디야
1096,충청북도,청주시 흥덕구,이디야커피,-,127.455569382046,36.653704747195,충청북도 청주시 흥덕구 월명로 212,청주 흥덕,1,이디야
1097,경기도,성남시 분당구,이디야커피,-,127.10769978788099,37.375667230653896,경기도 성남시 분당구 정자일로 248,성남 분당,1,이디야
1098,경기도,안산시 단원구,이디야커피,이마트고잔점,126.812841950909,37.3031525784688,경기도 안산시 단원구 원포공원1로 46,안산 단원,1,이디야
1099,경기도,수원시 영통구,이디야커피,-,127.057644079309,37.23761107954621,경기도 수원시 영통구 영통로 107,수원 영통,1,이디야
1100,경기도,포천시,이디야커피,-,127.146227133075,37.8302956451889,경기도 포천시 소흘읍 솔모루로81번길 23,포천,1,이디야
