,지역,상호,주소,상표,셀프여부,경유
26,대전광역시,중도석유(주)산성주유소,대전 중구 대둔산로 406 (산성동),GS칼텍스,N,1368
27,대전광역시,거북이주유소,대전 중구 문화로 35 (산성동),GS칼텍스,N,1319
28,대전광역시,지에스칼텍스㈜ 대양주유소,대전 중구 우암로 4,GS칼텍스,Y,1359
29,대전광역시,충남주유소,대전 중구 대흥로 80 (대흥동),자가상표,N,1289
30,대전광역시,중도석유(주)천일주유소,대전 중구 대종로 376 (부사동),GS칼텍스,N,1355
31,대전광역시,쟈이주유소,대전광역시 중구 대흥로 132 (대흥동),현대오일뱅크,N,1379
32,대전광역시,삼육주유소,대전 중구 대전천서로 757 (중촌동),SK에너지,Y,1385
33,대전광역시,중촌(구.태영),대전 중구 동서대로 1434 (선화동),SK에너지,N,1395
34,대전광역시,SK대전셀프주유소,대전 중구 중앙로 64 (대흥동),SK에너지,Y,1365
35,대전광역시,(주)안국에너지 용두동주유소,대전 중구 계룡로771번길 8 (용두동),SK에너지,N,1379
36,대전광역시,태성주유소,대전 중구 동서대로 1459 (중촌동),GS칼텍스,Y,1398
37,대전광역시,목동주유소,대전 중구 동서대로 1385(목동),S-OIL,N,1465
38,대전광역시,영광주유소,대전 중구 문화로 95 (유천동),SK에너지,N,1454
39,대전광역시,대웅에너지,대전 중구 대종로 557 (선화동),현대오일뱅크,Y,-
40,대전광역시,금성주유소,대전 중구 동서대로 1183 (태평동),S-OIL,Y,-
0,세종특별자치시,세종동부농협주유소,세종특별자치시 부강면 부강외천로 10,NH-OIL,Y,1275
1,세종특별자치시,진영주유소,세종 소정면 세종로 4732,현대오일뱅크,Y,1309
2,세종특별자치시,소나무주유소,세종특별자치시 전의면 세종로 3907,자가상표,N,1289
3,세종특별자치시,아성알뜰주유소,세종특별자치시 다정북로 40,알뜰주유소,Y,1289
4,세종특별자치시,㈜비타민셀프 세종셀프주유소,세종시 다정북로 221,S-OIL,Y,1295
5,세종특별자치시,굿모닝주유소,세종특별자치시 조치원읍 세종로 2712,자가상표,N,1299
6,세종특별자치시,신안주유소,세종특별자치시 조치원읍 세종로 2678,알뜰주유소,Y,1299
7,세종특별자치시,석곡주유소,세종 전동면 하석곡길 64-10,GS칼텍스,N,1308
8,세종특별자치시,충청에너지주유소,세종특별자치시 전의면 세종로 3894,GS칼텍스,Y,1308
9,세종특별자치시,고운self주유소,세종 마음안로 136  (고운동),SK에너지,Y,1299
10,세종특별자치시,대영에너지(주)직영 아름셀프주유소,세종특별자치시 금남면 세종로 215,현대오일뱅크,Y,1359
11,세종특별자치시,그린주유소,세종 조치원읍 세종로 2706,현대오일뱅크,N,1317
12,세종특별자치시,남세종농협주유소,세종특별자치시 금남면 성덕영곡길 15,NH-OIL,Y,1318
13,세종특별자치시,신원주유소,세종 조치원읍 세종로 2562,SK에너지,Y,1319
14,세종특별자치시,봉암주유소,세종시 연서면 세종로 1899,SK에너지,Y,1319
15,세종특별자치시,삼미상사(주)도담셀프주유소,세종특별자치시 갈매로 596(도담동),SK에너지,Y,1344
16,세종특별자치시,(주)동인석유 청사self주유소,세종특별자치시 다솜로 38 (어진동),현대오일뱅크,Y,1365
17,세종특별자치시,새롬주유소,세종시 어울로 77 (새롬동),SK에너지,Y,1325
18,세종특별자치시,범한주유소,세종특별자치시  소정면 세종로 4679,S-OIL,N,1328
19,세종특별자치시,덕고개주유소,세종특별자치시 전의면 운주산로 1284,GS칼텍스,N,1330
20,세종특별자치시,전의농협주유소,세종특별자치시 전의면 매실로 6,NH-OIL,N,1335
21,세종특별자치시,현대오일뱅크 대일주유소,세종 연서면 세종로 2137,현대오일뱅크,N,1348
22,세종특별자치시,흥진주유소,세종특별자치시 조치원읍 신안새동네길 4,GS칼텍스,N,1339
