,지역,상호,주소,상표,셀프여부,경유
20,대전광역시,제일셀프주유소,대전광역시 대덕구  동서대로 1750 (비래동),현대오일뱅크,Y,1309
21,대전광역시,회덕롯데리아주유소,대전 대덕구 신탄진로 222 (와동),SK에너지,Y,1329
22,대전광역시,와동주유소,대전 대덕구 신탄진로 386 (와동),현대오일뱅크,N,1334
23,대전광역시,신탄진주유소,대전 대덕구 대덕대로1527번길 374,현대오일뱅크,N,1325
24,대전광역시,동양주유소,대전 대덕구 동서대로 1811(송촌동),현대오일뱅크,N,1335
25,대전광역시,라자로주유소,대전 대덕구 대전로 1390 (읍내동),현대오일뱅크,N,1399
26,대전광역시,순우리주유소,대전 대덕구 신탄진로 533 (상서동),자가상표,N,1328
27,대전광역시,㈜연정 에스에스주유소,대전 대덕구 한밭대로 1020,S-OIL,N,1329
28,대전광역시,진영주유소,대전 대덕구 한밭대로 1180 (중리동),S-OIL,N,1329
29,대전광역시,농수산주유소,대전광역시 대덕구  한밭대로 1014 (오정동),GS칼텍스,Y,1329
30,대전광역시,(주)삼부에너지 으뜸주유소,대전 대덕구 한밭대로 1152 (중리동),현대오일뱅크,N,1329
31,대전광역시,지에스칼텍스㈜ 톨게이트주유소,대전 대덕구 동서대로 1762,GS칼텍스,Y,1349
32,대전광역시,일등주유소,대전 대덕구 한밭대로 1145 (중리동),현대오일뱅크,N,1327
33,대전광역시,갑천주유소,대전 대덕구 아리랑로55번길 189 (신대동),GS칼텍스,Y,1358
34,대전광역시,창영주유소,대전 대덕구 신탄진로 383,GS칼텍스,N,1299
35,대전광역시,한라주유소,대전 대덕구 오정로 65 (오정동),GS칼텍스,N,1449
36,대전광역시,CJ대한통운㈜ 대전지사주유소,대전 대덕구 신탄진로 1 (읍내동),GS칼텍스,N,1348
37,대전광역시,은빛주유소,대전 대덕구 아리랑로 70 (읍내동),현대오일뱅크,N,1359
38,대전광역시,신일주유소,대전광역시 대덕구 산업단지로 112,현대오일뱅크,N,1379
39,대전광역시,sk럭키주유소,대전광역시 대덕구  한밭대로 1007 (오정동),SK에너지,N,1359
40,대전광역시,새로운주유소,대전 대덕구 오정로 123 (오정동),SK에너지,N,1309
41,대전광역시,당산주유소,대전 대덕구 아리랑로 135 (읍내동),SK에너지,N,1379
42,대전광역시,상서주유소,대전 대덕구 신탄진로 519 (상서동),현대오일뱅크,N,1379
43,대전광역시,대도주유소,대전광역시 대덕구  신탄진로756번길 2 (신탄진동),현대오일뱅크,N,1378
44,대전광역시,비전운수(주)산업단지주유소,대전 대덕구 산업단지로 107,GS칼텍스,N,1419
45,대전광역시,차세대주유소,대전광역시 대덕구  아리랑로 73 (읍내동),GS칼텍스,N,1418
46,대전광역시,충청주유소,대전 대덕구 대전로 1393 (읍내동),S-OIL,N,1418
47,대전광역시,개나리주유소오일뱅크,대전 대덕구 오정로 53 (오정동),현대오일뱅크,N,1439
48,대전광역시,공단주유소,대전 대덕구 대전로 1285 (대화동),GS칼텍스,N,1399
49,대전광역시,장터주유소,대전 대덕구 아리랑로 152 (읍내동),GS칼텍스,N,1445
50,대전광역시,삼영주유소,대전 대덕구 대전로 1200 (오정동),S-OIL,N,1429
51,대전광역시,OK(구.영광),대전 대덕구 대전로 1312 (읍내동),SK에너지,N,1469
52,대전광역시,대덕산업단지관리공단주유사업소,대전 대덕구 문평동로 2 (문평동),현대오일뱅크,N,1488
53,대전광역시,호성,대전 대덕구 신탄진로681번길 22,SK에너지,N,1495
54,대전광역시,동남,대전 대덕구 신탄진로 470,SK에너지,N,1495
55,대전광역시,맘모스주유소,대전 대덕구 동서대로 1756 (비래동),SK에너지,N,1517
56,대전광역시,대전4공단,대전 대덕구 대덕대로 1412,SK에너지,N,1555
57,대전광역시,한솔주유소,대전 대덕구 한밭대로 1036 (오정동),GS칼텍스,N,1697
